"","x"
"1",2.63774810008135
"2",1.70261593113755
"3",4.56548467905542
"4",3.15272730821708
"5",2.07655123421267
"6",2.58200047936196
"7",2.9681558917739
"8",3.51407952697497
"9",1.68531750779995
"10",2.86237774010797
"11",2.63751505434009
"12",2.3624112570585
"13",2.87553535322731
"14",1.54880881062982
"15",1.89663105314909
"16",1.30378602630174
"17",1.69661797401353
"18",2.28555422127883
"19",2.41823146717604
"20",2.29445235088232
"21",1.87755209828685
"22",1.32077215164003
"23",2.04822830004888
"24",3.66218881946548
"25",1.49226039903165
"26",2.51596013531096
"27",2.01019798260109
"28",2.87241709138288
"29",1.92622442421753
"30",3.84355775685847
"31",1.99687870004036
"32",2.92589839784441
"33",3.50762182630938
"34",1.58271841344127
"35",4.31860636079404
"36",1.72747065098372
"37",2.54679279275714
"38",1.81487746111361
"39",2.40030876003635
"40",4.62701758355202
"41",1.95637493438828
"42",3.17986068910451
"43",2.08948589592919
"44",2.0794809599524
"45",2.92088707925327
"46",3.12649451045332
"47",4.47965148186724
"48",2.30328258535676
"49",2.45385788615339
"50",1.59475449997461
"51",1.44375116186962
"52",2.36732142168559
"53",3.82572025994376
"54",1.77684569606747
"55",1.94284793911595
"56",1.62442447982809
"57",1.61635118895215
"58",2.31687804935961
"59",1.88160421484902
"60",1.26503112980515
"61",2.92107022995591
"62",2.88432414772188
"63",1.70182048803882
"64",1.81483955217937
"65",2.02953709009557
"66",3.45944073143268
"67",3.05640012536553
"68",2.42124618346356
"69",1.70045683167848
"70",1.98649225077755
"71",3.06527862837991
"72",3.27328772486173
"73",1.55254511275859
"74",2.00175426638526
"75",3.96954380299352
"76",1.80663027061249
"77",1.62995368747132
"78",3.14862085162459
"79",6.28561406914768
"80",1.89850846201593
"81",3.11631015004134
"82",1.71616185134751
"83",2.91453601698419
"84",3.22588550274555
"85",4.48903382998494
"86",1.69843693332433
"87",1.94876871449263
"88",3.61493067969779
"89",3.73000603020312
"90",2.17078394360278
"91",2.93620124010007
"92",4.92206416622073
"93",1.81425703596824
"94",2.99522188258867
"95",2.7149091223464
"96",2.89987185320318
"97",1.81916418650086
"98",2.01815303666937
"99",2.96504072117398
"100",2.95800460871653
"101",2.22919172046848
"102",1.97317794633001
"103",1.56576021236629
"104",1.80877981852664
"105",2.51728350484473
"106",4.19303755728651
"107",1.95370461115179
"108",1.69625224586827
"109",1.69438794576083
"110",1.70541747406255
"111",2.31918043683835
"112",3.13983824435149
"113",3.31137322056945
"114",2.30616755734636
"115",1.53472459085545
"116",2.95789348711437
"117",4.1390218684103
"118",1.90710408443794
"119",1.24719504283155
"120",2.70610548902357
"121",1.32883806598878
"122",3.34194580148068
"123",2.73686567627451
"124",1.83292939671774
"125",3.23791489895798
"126",2.50555069304513
"127",2.8731212071652
"128",1.55829089077928
"129",3.47341902204635
"130",2.62531570830573
"131",1.93955451843379
"132",2.11781812359399
"133",2.65134172104083
"134",2.31136195300605
"135",3.14537751583141
"136",2.7613001045625
"137",1.24901094966131
"138",2.52643938435929
"139",1.37195482432632
"140",2.49990549703333
"141",1.73760546172837
"142",2.27953840717231
"143",2.59014188422585
"144",3.63803944016825
"145",4.11659929164283
"146",3.03889407967793
"147",2.8891823730164
"148",1.64993378887113
"149",2.21637977399581
"150",2.82103219043884
"151",2.03208760357008
"152",3.83639552956848
"153",3.33660115208314
"154",2.62863958030529
"155",1.18165434065493
"156",2.12731897633204
"157",1.76267610081422
"158",2.77400318529286
"159",4.55744483472472
"160",1.84378534657685
"161",2.93731782748875
"162",2.48056065063209
"163",3.78307935854523
"164",1.19966541838629
"165",1.76338291430542
"166",1.67186329658661
"167",3.12733065608771
"168",1.92564827551625
"169",2.20862984600927
"170",2.07308265859449
"171",1.79080206009235
"172",2.7825140180226
"173",1.64943381088332
"174",4.7618460177661
"175",2.80587856201254
"176",1.66649383737128
"177",2.21890246406699
"178",2.06431306423683
"179",1.99948345701649
"180",4.06562684371841
"181",1.97804033876299
"182",3.99168034952787
"183",3.0170333443438
"184",1.38008821857845
"185",2.56099431902389
"186",1.75679472158477
"187",1.39939205737769
"188",2.57972153389266
"189",3.00308350577182
"190",1.74065647935607
"191",2.22850001157302
"192",2.01143682793882
"193",1.49225793579924
"194",1.51377007617686
"195",3.24014985655994
"196",2.11167897594821
"197",2.13271018549492
"198",1.62402072877903
"199",1.9513147464642
"200",2.48761521176387
"201",2.2400540495124
"202",2.15310682153705
"203",2.36253454330029
"204",2.50497816901315
"205",2.52077998415408
"206",2.72401886040122
"207",1.95824896099596
"208",3.44638855398134
"209",3.02989426284756
"210",4.61649280122498
"211",1.5151231650795
"212",1.93117624868866
"213",4.17208676729465
"214",2.65502819946122
"215",2.19833328812187
"216",4.71481760423481
"217",2.5608375839051
"218",2.41323741205134
"219",2.51022275620069
"220",1.4151757736161
"221",2.57892352206537
"222",1.9671464057619
"223",1.77318306326666
"224",1.55774074725959
"225",1.38279787640983
"226",1.57871889085843
"227",1.5832712787784
"228",4.03891912673769
"229",1.63916186330962
"230",1.61404901192663
"231",2.47822687398195
"232",1.872306462907
"233",1.67221913032064
"234",2.44346798037317
"235",3.42370852228665
"236",1.52815220456122
"237",2.23560502026274
"238",2.06262935283453
"239",3.99570925908547
"240",1.58495518550531
"241",3.38063806260822
"242",1.79627695263287
